,HS_CODE
0,101211000
1,101219000
2,101291000
3,101299000
4,101301000
5,101309000
6,101900000
7,102211000
8,102212000
9,102219000
10,102291000
11,102292000
12,102299000
13,102310000
14,102391000
15,102392000
16,102399000
17,102901000
18,1029090
19,102909010
20,102909020
21,102909090
22,103100000
23,103910000
24,103920000
25,104101000
26,104109000
27,104201000
28,104209000
29,105111000
30,105119000
31,105120000
32,105131000
33,105139000
34,105140000
35,105150000
36,105941000
37,105949000
38,1059910
39,105991010
40,105991090
41,105992000
42,105999000
43,106110000
44,106121000
45,106122000
46,106130000
47,106141000
48,106149000
49,106191000
50,106193000
51,106194000
52,1061950
53,106195010
54,106195090
55,1061960
56,106196010
57,106196090
58,106199000
59,106201000
60,106202000
61,106203000
62,106209000
63,106310000
64,106320000
65,106330000
66,106390000
67,106411000
68,106419000
69,106490000
70,106901000
71,1069030
72,106903010
73,106903020
74,106903090
75,106909000
76,201100000
77,201201000
78,201209000
79,201300000
80,202100000
81,202201000
82,202209000
83,202300000
84,203110000
85,203120000
86,203191000
87,203199000
88,203210000
89,203220000
90,203291000
91,203299000
92,204100000
93,204210000
94,204220000
95,204230000
96,204300000
97,204410000
98,204420000
99,204430000
100,204501000
101,204502000
102,205001000
103,205002000
104,206100000
105,206210000
106,206220000
107,206291000
108,206292000
109,206299000
110,206300000
111,206410000
112,206491000
113,206499000
114,206800000
115,206900000
116,207111000
117,207119000
118,207121000
119,207129000
120,2071310
121,207131010
122,207131020
123,207131030
124,207131090
125,2071320
126,207132010
127,207132090
128,2071410
129,207141010
130,207141020
131,207141030
132,207141090
133,2071420
134,207142010
135,207142090
136,207240000
137,207250000
138,207261000
139,2072620
140,207262010
141,207262090
142,207271000
143,2072720
144,207272010
145,207272090
146,207410000
147,207420000
148,207430000
149,207441000
150,2074420
151,207442010
152,207442090
153,207451000
154,2074520
155,207452010
156,207452090
157,207510000
158,207520000
159,207530000
160,207541000
161,2075420
162,207542010
163,207542090
164,207551000
165,2075520
166,207552010
167,207552090
168,207601000
169,207602000
170,207603
171,207603100
172,2076032
173,207603210
174,207603290
175,207604
